,site,lat,lon,elv,age,Tmin_pred,gdd_pred,alpha_pred,Tmax_pred,Tmin_sse,gdd_sse,alpha_sse,Tmax_sse
167,Aligol core 1,41.63,44.02,1550,499,0.105837592,4325.356059,0.760279757,23.3809929,1.277366577,292.3095702,0.012265472,1.357112756
168,Aligol core 1,41.63,44.02,1550,635,-0.254764254,4326.534196,0.708883941,22.45122042,0.943490316,186.6860724,0.011131373,0.966491406
169,Aligol core 1,41.63,44.02,1550,707,-0.637852289,3860.341373,0.718139453,19.81865522,0.908731799,160.3460043,0.010104198,1.024363421
170,Aligol core 1,41.63,44.02,1550,903,-0.012219675,3707.711779,0.691618226,16.8524026,0.824799572,111.4870527,0.011741822,0.52702952
171,Aligol core 1,41.63,44.02,1550,962,-0.013406839,3858.684879,0.685481694,18.35965567,0.728278172,95.23703765,0.010406374,0.435673321
172,Aligol core 1,41.63,44.02,1550,1076,0.516024358,3932.759014,0.674169451,18.39974978,0.899930638,126.205777,0.011940671,0.739637795
173,Aligol core 1,41.63,44.02,1550,1133,0.510618036,3828.229689,0.690933228,18.08105017,0.919065959,147.3022546,0.012152266,0.974833953
174,Aligol core 1,41.63,44.02,1550,1189,0.783499538,3709.309815,0.684848598,16.21567811,0.812246443,122.4795338,0.013520538,0.568547397
175,Aligol core 1,41.63,44.02,1550,1245,0.120017037,3805.745406,0.683338589,17.27892612,0.719929306,106.700333,0.011623194,0.469832419
176,Aligol core 1,41.63,44.02,1550,1302,-0.125609274,3783.35687,0.690987211,17.52681435,0.694706639,103.8031455,0.011170682,0.469510394
177,Aligol core 1,41.63,44.02,1550,1360,0.117078308,3967.948135,0.681898605,18.78998637,0.702171326,104.1526314,0.010794235,0.519472947
178,Aligol core 1,41.63,44.02,1550,1653,-0.618580797,3397.014015,0.831996724,17.24034723,0.62804795,155.1821604,0.031166855,0.437578847
179,Aligol core 1,41.63,44.02,1550,1908,0.119874013,4025.497933,0.694138215,19.16085372,0.825854577,128.936093,0.01157478,0.827103308
180,Aligol core 1,41.63,44.02,1550,2325,-0.04465129,3822.400361,0.702988055,18.33614401,0.606376281,96.02531432,0.011770667,0.405006145
181,Aligol core 1,41.63,44.02,1550,2823,1.525724934,3923.817967,0.652896227,18.19690833,0.776652497,133.3440921,0.020244083,0.582834389
182,Aligol core 1,41.63,44.02,1550,3742,-1.051090025,3374.302406,0.750829012,14.90539001,0.930265533,140.0050656,0.01440572,0.538753993
183,Aligol core 1,41.63,44.02,1550,4418,-0.494833903,3496.556793,0.707579857,15.30535329,0.885879932,132.8546469,0.013236167,0.58508374
184,Aligol core 1,41.63,44.02,1550,4616,0.384679864,3713.457775,0.692106372,17.13221378,0.944705084,139.9227753,0.01215246,0.848405635
185,Aligol core 1,41.63,44.02,1550,4741,-0.250054452,3474.827064,0.726934956,15.67600134,1.01557282,146.0287097,0.012537112,0.821868592
186,Aligol core 1,41.63,44.02,1550,4879,-0.35125449,3505.454102,0.734532248,16.13485968,1.085813402,145.8654879,0.01214501,0.857174451
187,Aligol core 1,41.63,44.02,1550,5016,-0.990080641,3443.737866,0.729043659,15.27186277,1.055507352,124.7276651,0.012394231,0.575287308
188,Aligol core 1,41.63,44.02,1550,5133,-0.350084923,3718.134359,0.700960622,17.17249802,0.923374167,133.9436849,0.011922851,0.802958041
189,Aligol core 1,41.63,44.02,1550,5195,-0.845716325,3717.866682,0.683309106,16.64188313,0.841959532,107.2113376,0.011860626,0.470020618
190,Aligol core 1,41.63,44.02,1550,5241,-0.497962693,3903.503847,0.671742173,18.2382114,0.90955453,126.1512483,0.011365113,0.79104521
191,Aligol core 1,41.63,44.02,1550,5286,-1.322565108,3724.337632,0.728496235,17.7396177,0.869452216,146.4381797,0.011856556,0.906012157
192,Aligol core 1,41.63,44.02,1550,5957,-1.390863562,3811.351142,0.733360088,19.22061091,1.061578441,207.3763797,0.01129176,1.349799254
